;Datum;von;bis;MW
Maximum;11.11.2013;17:00;17:15;9929
;Datum;von;bis;MW
Minimum;24.12.2013;01:45;02:00;-3282

Datum;Uhrzeit;;Wert
;von;bis;
01.01.2013;00:00;00:15;-1835
01.01.2013;00:15;00:30;-1716
01.01.2013;00:30;00:45;-1801
01.01.2013;00:45;01:00;-1915
01.01.2013;01:00;01:15;-2116
01.01.2013;01:15;01:30;-2079
01.01.2013;01:30;01:45;-2046
01.01.2013;01:45;02:00;-2042
01.01.2013;02:00;02:15;-2124
01.01.2013;02:15;02:30;-2109
01.01.2013;02:30;02:45;-2036
01.01.2013;02:45;03:00;-2181
01.01.2013;03:00;03:15;-2183
01.01.2013;03:15;03:30;-2120
01.01.2013;03:30;03:45;-2106
01.01.2013;03:45;04:00;-2173
01.01.2013;04:00;04:15;-2066
01.01.2013;04:15;04:30;-2036
01.01.2013;04:30;04:45;-2002
01.01.2013;04:45;05:00;-1906
01.01.2013;05:00;05:15;-1803
01.01.2013;05:15;05:30;-1908
01.01.2013;05:30;05:45;-1976
01.01.2013;05:45;06:00;-2156
01.01.2013;06:00;06:15;-2370
01.01.2013;06:15;06:30;-2453
01.01.2013;06:30;06:45;-2404
01.01.2013;06:45;07:00;-2405
01.01.2013;07:00;07:15;-2364
01.01.2013;07:15;07:30;-2320
01.01.2013;07:30;07:45;-2209
01.01.2013;07:45;08:00;-2176
01.01.2013;08:00;08:15;-2221
01.01.2013;08:15;08:30;-2141
01.01.2013;08:30;08:45;-2066
01.01.2013;08:45;09:00;-1993
01.01.2013;09:00;09:15;-1949
01.01.2013;09:15;09:30;-1838
01.01.2013;09:30;09:45;-1680
01.01.2013;09:45;10:00;-1585
01.01.2013;10:00;10:15;-1377
01.01.2013;10:15;10:30;-1359
01.01.2013;10:30;10:45;-1213
01.01.2013;10:45;11:00;-1021
01.01.2013;11:00;11:15;-951
01.01.2013;11:15;11:30;-771
01.01.2013;11:30;11:45;-608
01.01.2013;11:45;12:00;-492
01.01.2013;12:00;12:15;-463
01.01.2013;12:15;12:30;-472
01.01.2013;12:30;12:45;-390
01.01.2013;12:45;13:00;-260
01.01.2013;13:00;13:15;-102
01.01.2013;13:15;13:30;-143
01.01.2013;13:30;13:45;-20
